name,candidate_points,avg_suitability,max_suitability
Hemmigepura,78,0.3970976795898616,0.9199918346863776
Channasandra,14,0.35255013407305774,0.5990648399839023
Kadugodi,23,0.28882720241938376,0.6690640051727683
Shivapura,13,0.271933166442304,0.4188569174872939
Varthur,48,0.24643823576581433,0.666443565019949
Dodda Bidarakallu,18,0.23513384102268095,0.5596364320419269
Munnenkolalu,11,0.2326122910038468,0.359939414611487
Vibhootipura,30,0.20863326333832372,0.346098294070242
Gottigere,10,0.20718391987774284,0.4186691415174653
Anjanapura,79,0.20449667722981027,0.5977726873393467
Thanisandra,14,0.19860800028882525,0.3311558051655616
Devarachikkanahalli,10,0.1983548195617871,0.2806362996134152
Chikkathoguru,41,0.19342792006058562,0.5319237659526754
Shettihalli,21,0.19184091129643316,0.3135816165587348
Talagattapura,95,0.19158255895483928,0.5632916014394992
Nada prabhu Kempegowda Nagara,23,0.18659444692081925,0.3820857813493563
Attur,13,0.18605023869164614,0.317683471436791
Belathur,35,0.16607381021348447,0.3779821628034261
Kuvempunagara,30,0.16565821191807914,0.2967752274976032
Yamalur,36,0.16564541762068585,0.3414061810697112
Raja Kempegowda Ward,41,0.16521258261800156,0.3558408530171956
Medahalli,26,0.16413649333464964,0.4421480895962122
K Narayanapura,30,0.15739629256703555,0.3734937551091415
Byrathi,26,0.15640225003603228,0.3602316663375191
Andrahalli,36,0.15608613934233376,0.394201171409623
Hennur,12,0.15543177952948187,0.2765227132794632
Manjunatha Nagar,10,0.15462368638198218,0.2807984177914014
Jeevanahalli,11,0.1534640672101473,0.3059240957703176
Bhattarahalli,15,0.15321102523142746,0.3062866693742281
Naganathapura,18,0.14793614865198146,0.3159598575864815
Babusab Palya,12,0.1430076308956651,0.2254106971486552
Rajamahal,14,0.1427140359012732,0.2594702646880992
K Chennasandra,10,0.14230793408276587,0.2403607871071171
Kalkere,23,0.1421120125898916,0.2590771539138627
Agaram,62,0.14115031795614988,0.3233698047822996
Kogilu,67,0.1366906367650336,0.4993090796337397
Kasturi Nagar,23,0.13491496506508363,0.2528752731892371
Rajiv Gandhi Nagar,22,0.1331832940631742,0.2609489341748072
Kudlu,21,0.1326605269797411,0.2361495932367803
Gunjur,75,0.13246017318496978,0.5513063898430175
Indiranagar,20,0.12995448385730118,0.3479502721681818
Doddakammanahalli,30,0.1298176172665577,0.2981044776539339
Vishwapriya Nagara,11,0.1286496993789703,0.2295814391885509
Jnana Bharathi Ward,33,0.1284920085015012,0.2803930476630739
Deepanjali Nagara,12,0.12458318853389665,0.1774893870518322
Kengal Hanumanthaiah West,15,0.12431558040358336,0.3093741503782159
Horamavu,50,0.12355332740521945,0.3578159889792142
Kodi Chikkanahalli,11,0.12314108857012966,0.2048588618063898
Akash Ward,55,0.12243029834795766,0.3761334615640643
Lakshmipura,12,0.12048365621209334,0.2143120939596742
Bangarappa Nagara,36,0.1195434708632009,0.2247800667365325
Peenya,23,0.1187267261187452,0.2723001808674783
Panathur,50,0.11839669863860369,0.3060454836624519
Abbigere,31,0.11685395287862708,0.2643163048296972
S.M Krishna Ward,24,0.11551959536189173,0.3019025706913483
Cox Town,10,0.11444881608125593,0.2548205579361446
Nelagadaranahalli,10,0.11236025557890798,0.1845530963370177
Kaveri Nagara,11,0.11021982192096501,0.2382603785505416
Harinagar,10,0.11004602270851294,0.207485285114364
Byadarahalli,25,0.10969948368301592,0.257093505315736
Mylasandra,38,0.10869221220178368,0.2273755297135352
Whitefield,24,0.10802350670502735,0.2446465079376528
Thindlu,40,0.1064601354266221,0.2554037641448389
Doddabettahalli,26,0.10584236384710968,0.3002078334402561
Goraguntepalya,14,0.10552653663201254,0.1824542810442516
Vinayakanagar,10,0.10511243933234056,0.2074630466145703
Sangama Ward,15,0.10496813587967986,0.1915052828747418
Kundalahalli,26,0.10482011114512658,0.2548363932278184
Chikka Devasandra,10,0.10441471361890786,0.1872804053973293
T.C Palya,16,0.10435239015932267,0.1763742485205323
Hoysala Nagara Central,11,0.10278330342565845,0.2647420180884525
Beguru,18,0.10250721232312011,0.2227268820830981
Yelahanka Old Town,11,0.10232515460789786,0.1827664752406335
Kottegepalya,14,0.1016926262406005,0.1694722457173418
HMT Ward,25,0.10127853598750153,0.2160745013629873
Sampigehalli,45,0.09916282178465202,0.2663210965944504
Hoodi,19,0.09385361027725897,0.2879828027291223
Rajarajeshwari Nagara,27,0.09372899338903967,0.1884682820405483
Bilekahalli,13,0.0924677934251883,0.1909751562398026
Nagavarapalya,12,0.08995485820365594,0.1727108196504763
Yelenahalli,26,0.08940791143489776,0.2347511814518447
Subramanyapura,43,0.0890836546985497,0.3136563930798166
S.G Palya,10,0.08897425928445808,0.1663101395303018
Kormangala West,14,0.08835710963109399,0.1598765991974602
Nalwadi Krishnaraja Wadiyar Ward,12,0.08783358732948021,0.1650802253409021
Ullal,28,0.0866395906637012,0.2845852536101704
Kothanur,22,0.08432197681707956,0.2159760056666019
Vidyaranyapura,11,0.08390902926086934,0.1559476593853211
Kasavanahalli,45,0.08355846593182253,0.2104486187446015
Kacharakanahalli,11,0.08335249572389371,0.1537447450246018
Iblur,10,0.08212754456133811,0.185832316999574
Bellandur,16,0.0814622652825916,0.1474265579843511
Nyayanga Badavane,11,0.08103383606068185,0.1842639580826378
Kempapura,28,0.08057231591891954,0.2223665508886856
Nagasandra,10,0.08028522458103513,0.170496897715555
Vijaya Bank Layout,28,0.0780883888673181,0.1590524161823708
Byatarayanapura,28,0.07793735789115422,0.1756853200816529
